1,2023-07-09,22,90
2,2024-05-04,82,8
3,2023-06-16,26,89
4,2023-10-28,52,12
5,2023-11-10,43,51
6,2023-09-18,12,16
7,2023-12-25,41,54
8,2024-02-18,24,78
9,2023-11-22,74,24
10,2024-02-23,82,62
11,2024-06-10,19,64
12,2023-07-18,88,88
13,2024-06-09,52,58
14,2024-01-15,4,35
15,2023-07-04,17,96
16,2023-11-02,27,95
17,2023-08-01,75,58
18,2023-07-12,40,93
19,2023-10-07,29,84
20,2023-07-07,57,61
21,2023-11-06,61,25
22,2023-06-15,54,21
23,2023-12-12,61,91
24,2023-12-25,10,98
25,2024-01-31,85,83
26,2023-08-26,49,20
27,2023-09-01,85,21
28,2024-02-26,14,65
29,2024-02-18,25,67
30,2024-03-30,35,76
31,2024-04-25,19,44
32,2024-03-17,63,97
33,2023-08-23,10,8
34,2023-11-05,51,74
35,2023-08-24,89,4
36,2023-08-27,78,49
37,2024-03-08,69,8
38,2023-06-23,27,87
39,2024-04-25,80,23
40,2023-10-04,66,47
41,2023-12-17,93,22
42,2024-06-04,26,4
43,2024-02-03,12,21
44,2024-03-28,65,95
45,2023-07-29,5,91
46,2023-07-18,80,22
47,2023-08-19,61,93
48,2023-09-13,7,39
49,2024-03-13,79,7
50,2023-06-13,99,9
51,2023-07-14,17,69
52,2023-08-12,26,14
53,2023-09-03,93,25
54,2023-12-23,10,56
55,2023-06-18,42,54
56,2024-04-08,52,80
57,2023-06-21,40,57
58,2024-05-24,44,77
59,2024-02-21,62,32
60,2024-01-30,66,71
61,2023-07-06,33,80
62,2024-03-10,47,1
63,2023-11-09,12,70
64,2023-12-02,99,12
65,2023-07-25,36,12
66,2023-08-17,71,97
67,2023-08-10,26,95
68,2024-04-30,50,17
69,2023-10-17,84,19
70,2023-10-05,17,90
71,2024-05-21,34,21
72,2023-09-01,85,99
73,2024-03-10,61,89
74,2023-09-14,26,78
75,2023-06-17,42,13
76,2023-07-29,6,58
77,2023-09-24,92,18
78,2023-06-17,1,7
79,2024-02-10,44,62
80,2024-04-15,90,71
81,2023-12-20,65,71
82,2023-09-16,94,19
83,2024-03-16,33,80
84,2024-03-21,34,15
85,2024-03-15,15,15
86,2023-07-26,18,23
87,2024-06-06,42,38
88,2024-03-26,97,82
89,2024-05-17,88,87
90,2023-09-24,68,37
91,2023-06-20,6,52
92,2023-09-18,60,74
93,2023-12-04,90,50
94,2024-02-14,29,99
95,2024-05-08,41,1
96,2024-04-11,86,2
97,2023-08-06,3,23
98,2023-11-15,6,97
99,2024-03-17,46,54
100,2023-09-09,58,76
