1,'Medium',Al Hijrah,2023-05-22
2,'Low',Voorburg,2022-10-31
3,'High',Xiaoweizhai,2022-10-10
4,'Medium',Linhó,2022-12-14
5,'Low',Abnūb,2022-09-30
6,'Low',Cipondok,2023-01-02
7,'Medium',Megalochórion,2022-10-29
8,'High',Cicheng,2023-02-13
9,'Medium',Fengcun,2022-07-06
10,'Low',Taboc,2023-05-05
11,'Low',Pamplona/Iruña,2023-04-10
12,'High',Propriá,2023-03-20
13,'High',Montauban,2022-11-16
14,'Low',Petani,2022-10-05
15,'Low',Krzyżanów,2023-04-15
16,'Low',Mogoditshane,2022-12-15
17,'High',Hexi,2022-07-08
18,'Medium',Wamba,2023-04-14
19,'Low',Zombo,2022-10-23
20,'Medium',Sagang,2022-11-18
21,'Medium',Al Abyār,2022-08-09
22,'Low',Shengao,2023-06-05
23,'High',Santa Catalina,2022-07-07
24,'Medium',Chrzanów,2022-07-06
25,'Medium',Bagulin,2023-06-08
26,'Medium',Khorlovo,2022-12-12
27,'High',Boñgalon,2022-06-24
28,'Low',Kedawung,2022-06-30
29,'Low',Kiruna,2022-07-15
30,'Medium',Jiazhuang,2022-11-13
31,'High',Kuivaniemi,2022-10-31
32,'High',Nigel,2023-03-31
33,'High',Heping,2023-04-25
34,'Low',Zvečan,2023-05-02
35,'Medium',Moriki,2022-09-03
36,'High',Shangbahe,2022-08-12
37,'High',Siluman,2022-06-28
38,'Low',Kotabaru,2023-02-04
39,'Medium',Quezaltepeque,2022-12-11
40,'High',Russas,2022-08-02
41,'Medium',Tuchkovo,2023-05-02
42,'Medium',Cabimas,2023-03-07
43,'High',Vila Chã,2023-02-18
44,'Medium',Sorokino,2023-01-15
45,'High',Las Vegas,2022-12-24
46,'Low',Merapit,2023-01-19
47,'High',San Antonio de Los Altos,2023-06-02
48,'Low',Chonglou,2023-06-04
49,'Low',Sukošan,2022-12-15
50,'High',Daitōchō,2022-07-09
